400 48000
186 92 49
92 186 49
221 362 27
362 221 27
290 59 63
59 290 63
326 140 26
140 326 26
372 136 11
136 372 11
168 167 29
167 168 29
182 330 62
330 182 62
323 67 35
67 323 35
329 202 22
202 329 22
258 269 67
269 258 67
193 56 11
56 193 11
42 229 73
229 42 73
21 119 84
119 21 84
137 398 24
398 137 24
315 370 13
370 315 13
326 91 80
91 326 80
356 273 62
273 356 62
370 196 81
196 370 81
305 125 84
125 305 84
327 336 5
336 327 5
46 129 13
129 46 13
257 124 95
124 257 95
382 145 14
145 382 14
167 234 64
234 167 64
43 150 87
150 43 87
8 76 78
76 8 78
188 384 3
384 188 3
251 354 99
354 251 99
332 260 76
260 332 76
168 139 12
139 168 12
226 186 94
186 226 94
339 395 70
395 339 70
234 378 67
378 234 67
201 97 2
97 201 2
117 92 52
92 117 52
356 101 80
101 356 80
286 241 65
241 286 65
89 44 19
44 89 19
40 329 31
329 40 31
117 97 71
97 117 71
81 275 9
275 81 9
127 167 56
167 127 56
297 353 86
353 297 86
165 106 83
106 165 83
219 224 28
224 219 28
71 132 29
132 71 29
303 19 70
19 303 70
168 108 15
108 168 15
340 149 96
149 340 96
323 218 45
218 323 45
46 251 21
251 46 21
355 379 88
379 355 88
164 228 41
228 164 41
350 393 0
393 350 0
234 164 24
164 234 24
114 187 56
187 114 56
143 91 27
91 143 27
365 259 36
259 365 36
232 151 37
151 232 37
28 75 7
75 28 7
274 121 58
121 274 58
395 29 37
29 395 37
235 193 18
193 235 18
28 143 11
143 28 11
328 329 76
329 328 76
4 43 63
43 4 63
213 138 6
138 213 6
40 104 18
104 40 18
328 288 69
288 328 69
317 317 0
317 317 0
196 124 43
124 196 43
270 183 90
183 270 90
299 172 25
172 299 25
44 390 5
390 44 5
139 154 86
154 139 86
69 82 42
82 69 42
64 197 7
197 64 7
155 4 48
4 155 48
211 22 28
22 211 28
99 143 46
143 99 46
368 340 22
340 368 22
111 210 5
210 111 5
201 61 30
61 201 30
78 105 20
105 78 20
336 244 26
244 336 26
122 265 8
265 122 8
216 282 58
282 216 58
124 37 62
37 124 62
24 200 36
200 24 36
252 299 79
299 252 79
350 268 71
268 350 71
173 331 81
331 173 81
130 133 94
133 130 94
260 163 99
163 260 99
381 99 96
99 381 96
159 173 13
173 159 13
68 390 95
390 68 95
126 66 84
66 126 84
140 90 84
90 140 84
176 342 36
342 176 36
307 245 56
245 307 56
379 18 87
18 379 87
212 148 72
148 212 72
59 9 36
9 59 36
10 342 87
342 10 87
206 101 13
101 206 13
172 121 55
121 172 55
19 199 21
199 19 21
304 339 11
339 304 11
340 67 5
67 340 5
228 327 50
327 228 50
384 258 20
258 384 20
24 22 69
22 24 69
196 81 30
81 196 30
84 92 72
92 84 72
72 250 25
250 72 25
185 22 99
22 185 99
240 42 98
42 240 98
313 298 90
298 313 90
124 190 9
190 124 9
181 19 36
19 181 36
132 355 94
355 132 94
4 379 69
379 4 69
73 176 50
176 73 50
55 260 42
260 55 42
379 284 93
284 379 93
5 21 67
21 5 67
104 213 61
213 104 61
354 126 59
126 354 59
144 202 2
202 144 2
306 384 21
384 306 21
42 68 28
68 42 28
389 72 8
72 389 8
358 98 36
98 358 36
8 153 48
153 8 48
103 133 33
133 103 33
48 90 54
90 48 54
367 146 68
146 367 68
329 100 46
100 329 46
188 197 49
197 188 49
190 103 33
103 190 33
163 97 53
97 163 53
92 86 25
86 92 25
352 396 75
396 352 75
388 357 29
357 388 29
236 60 14
60 236 14
321 60 4
60 321 4
28 27 50
27 28 50
348 356 2
356 348 2
394 97 99
97 394 99
243 239 2
239 243 2
28 3 0
3 28 0
281 47 38
47 281 38
159 351 35
351 159 35
134 339 92
339 134 92
215 127 4
127 215 4
29 49 64
49 29 64
285 29 43
29 285 43
335 377 0
377 335 0
38 371 49
371 38 49
289 167 88
167 289 88
292 195 43
195 292 43
344 29 90
29 344 90
82 140 41
140 82 41
169 226 32
226 169 32
261 42 60
42 261 60
317 23 61
23 317 61
81 309 90
309 81 90
225 196 67
196 225 67
277 234 90
234 277 90
26 124 57
124 26 57
14 368 5
368 14 5
358 312 86
312 358 86
300 346 26
346 300 26
194 116 52
116 194 52
378 329 46
329 378 46
290 247 70
247 290 70
251 280 31
280 251 31
193 57 27
57 193 27
112 286 14
286 112 14
355 312 90
312 355 90
12 279 10
279 12 10
169 189 74
189 169 74
355 41 20
41 355 20
233 187 88
187 233 88
338 166 70
166 338 70
84 56 17
56 84 17
206 260 49
260 206 49
237 5 59
5 237 59
17 118 45
118 17 45
383 73 58
73 383 58
73 37 89
37 73 89
83 207 78
207 83 78
357 114 71
114 357 71
129 300 59
300 129 59
18 238 25
238 18 25
188 274 33
274 188 33
157 81 93
81 157 93
358 270 99
270 358 99
217 239 69
239 217 69
363 222 94
222 363 94
373 247 31
247 373 31
262 282 90
282 262 90
292 191 57
191 292 57
315 321 57
321 315 57
174 291 47
291 174 47
151 31 21
31 151 21
137 140 54
140 137 54
30 98 25
98 30 25
281 316 16
316 281 16
202 231 39
231 202 39
196 204 38
204 196 38
180 18 21
18 180 21
370 262 12
262 370 12
179 177 85
177 179 85
336 304 76
304 336 76
283 7 59
7 283 59
57 144 99
144 57 99
311 127 50
127 311 50
36 360 18
360 36 18
305 163 49
163 305 49
44 311 5
311 44 5
334 91 75
91 334 75
155 14 89
14 155 89
168 193 18
193 168 18
5 82 22
82 5 22
182 317 30
317 182 30
293 374 26
374 293 26
193 286 53
286 193 53
143 274 14
274 143 14
313 179 77
179 313 77
362 175 88
175 362 88
119 110 32
110 119 32
294 217 46
217 294 46
235 337 91
337 235 91
353 343 73
343 353 73
328 125 91
125 328 91
310 18 17
18 310 17
36 163 55
163 36 55
290 258 30
258 290 30
104 171 61
171 104 61
33 85 89
85 33 89
273 204 51
204 273 51
205 50 68
50 205 68
103 285 6
285 103 6
195 239 49
239 195 49
320 167 26
167 320 26
363 77 96
77 363 96
381 65 60
65 381 60
236 355 70
355 236 70
318 11 42
11 318 42
132 396 79
396 132 79
121 270 84
270 121 84
172 27 34
27 172 34
40 83 72
83 40 72
198 230 63
230 198 63
347 150 30
150 347 30
173 114 59
114 173 59
322 47 24
47 322 24
282 235 32
235 282 32
4 154 43
154 4 43
298 286 40
286 298 40
278 359 62
359 278 62
62 83 41
83 62 41
248 123 24
123 248 24
272 322 54
322 272 54
135 221 57
221 135 57
165 347 71
347 165 71
176 269 18
269 176 18
301 103 53
103 301 53
333 107 59
107 333 59
328 6 97
6 328 97
320 284 8
284 320 8
134 298 91
298 134 91
376 98 15
98 376 15
252 371 89
371 252 89
359 106 10
106 359 10
216 224 9
224 216 9
139 0 78
0 139 78
109 253 81
253 109 81
314 138 89
138 314 89
226 67 47
67 226 47
23 387 31
387 23 31
132 122 81
122 132 81
275 50 79
50 275 79
190 254 50
254 190 50
331 213 57
213 331 57
294 381 81
381 294 81
203 120 33
120 203 33
382 181 87
181 382 87
215 96 25
96 215 25
204 322 92
322 204 92
151 297 32
297 151 32
334 381 6
381 334 6
15 257 8
257 15 8
195 399 62
399 195 62
297 283 76
283 297 76
154 177 9
177 154 9
187 332 82
332 187 82
221 266 63
266 221 63
60 82 11
82 60 11
85 286 85
286 85 85
130 390 83
390 130 83
114 276 16
276 114 16
220 292 25
292 220 25
328 39 25
